Oración original,Label original,Puntaje positivo,Puntaje negativo,COA,Resultado de inferencia,Tiempo de ejecución
rt i love the nerdy stanford human biology videos makes me miss school,1,0.263,0.175,5.324820735574733,Neutral,0.0
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,1,0.145,0.178,4.908754187764326,Neutral,0.0009996891021728516
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,1,0.245,0.0,5.5708601021175275,Neutral,0.0
is going to sleep then on a bike ride,1,0.0,0.0,4.999999999999997,Neutral,0.0
cant sleep my tooth is aching,0,0.0,0.39,3.3823227035458823,Neutral,0.0
blah blah blah same old same old no plans today going back to sleep i guess,0,0.0,0.368,3.5983283014397975,Neutral,0.0
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,0,0.146,0.32,4.268337361003004,Neutral,0.0009996891021728516
obama administration must stop bonuses to aig ponzi schemers,0,0.281,0.172,5.421465224386085,Neutral,0.0
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,0,0.0,0.098,4.908298911354923,Neutral,0.0010004043579101562
shaunwoo hate n on aig,0,0.0,0.552,1.68339655632714,Negative,0.0
you will not regret going to see star trek it was awesome,1,0.391,0.0,6.628242739435342,Neutral,0.0
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,0,0.0,0.13,4.840146119032421,Neutral,0.0010001659393310547
highly recommend by malcolm gladwell,1,0.411,0.0,6.852187559877032,Positive,0.0
blink by malcolm gladwell amazing book and the tipping point,1,0.297,0.0,5.859081495272414,Neutral,0.0
malcolm gladwell might be my new man crush,1,0.0,0.186,4.674250279828252,Neutral,0.0
omg the commercials alone on espn are going to drive me nuts,0,0.0,0.301,4.115390425760061,Neutral,0.0
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,1,0.362,0.0,6.347466538891686,Neutral,0.0
hello twitter api,1,0.0,0.0,4.999999999999997,Neutral,0.0
because the twitter api is slow and most client s aren t good,0,0.24,0.0,5.546971085469532,Neutral,0.0
yahoo answers can be a butt sometimes,0,0.0,0.0,4.999999999999997,Neutral,0.0
is scrapbooking with nic d,1,0.0,0.0,4.999999999999997,Neutral,0.001001596450805664
rt five things wolfram alpha does better and vastly different than google,1,0.209,0.0,5.412083641575623,Neutral,0.0
just changed my default pic to a nike basketball cause bball is awesome,1,0.272,0.0,5.710977016800301,Neutral,0.0
rt was just told that nike layoffs started today,0,0.0,0.0,4.999999999999997,Neutral,0.0009996891021728516
back when i worked for nike we had one fav word just do it,1,0.2,0.0,5.376940515576785,Neutral,0.0
by the way i m totally inspired by this freaky nike commercial,1,0.25,0.179,5.254101493730697,Neutral,0.0009999275207519531
class the d is supposed to come today,1,0.0,0.0,4.999999999999997,Neutral,0.0
needs someone to explain lambda calculus to him,0,0.0,0.0,4.999999999999997,Neutral,0.0009992122650146484
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,0,0.1,0.142,4.90895913923852,Neutral,0.0
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,1,0.197,0.092,5.274380063516589,Neutral,0.0010008811950683594
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,0,0.0,0.112,4.88086439600647,Neutral,0.0
great stanford course thanks for making it available to the public really helpful and informative for starting off,1,0.402,0.0,6.748049504093629,Positive,0.0
work til pm lets go lakers,1,0.0,0.0,4.999999999999997,Neutral,0.0009999275207519531
damn you north korea,0,0.0,0.474,2.208693383728507,Negative,0.0
can we just go ahead and blow north korea off the map already,0,0.0,0.0,4.999999999999997,Neutral,0.0
north korea please cease this douchebaggery china doesn t even like you anymore,0,0.324,0.0,6.041867795179161,Neutral,0.0010008811950683594
why the hell is pelosi in freakin china and on whose dime,0,0.0,0.295,4.153445062973974,Neutral,0.0
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,0,0.0,0.184,4.681263785290544,Neutral,0.00099945068359375
insects have infected my spinach plant,0,0.0,0.39,3.3823227035458823,Neutral,0.0
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,0,0.206,0.117,5.254434542157125,Neutral,0.0009999275207519531
just got back from church and i totally hate insects,0,0.0,0.333,3.8912766403141315,Neutral,0.0
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,0,0.189,0.28,4.644224438078744,Neutral,0.0009999275207519531
omgg i ohhdee want mcdonalds damn i wonder if its open lol,1,0.297,0.196,5.414695314325592,Neutral,0.0
history exam studying ugh,0,0.0,0.483,2.0344739739318594,Negative,0.0
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,0,0.0,0.394,3.3397695641837957,Neutral,0.0
higher physics exam tommorow not lookin forward to it much,0,0.0,0.0,4.999999999999997,Neutral,0.0
it s a bank holiday yet i m only out of work now exam season sucks,0,0.178,0.164,5.0401022321429005,Neutral,0.0
cheney and bush are the real culprits,0,0.0,0.0,4.999999999999997,Neutral,0.0
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,0,0.0,0.401,3.263236589660365,Negative,0.0010001659393310547
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,0,0.0,0.641,1.7704168081826948,Negative,0.0
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,0,0.099,0.245,4.543509585549094,Neutral,0.0010001659393310547
is twitter s connections api broken some tweets didn t make it to twitter,0,0.0,0.22,4.542588952403908,Neutral,0.0
i srsly hate the stupid twitter api timeout thing soooo annoying,0,0.0,0.583,1.706461592860472,Negative,0.0
i really liked learning jquery book is worth a look too,1,0.416,0.0,6.912794300063599,Positive,0.0
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,1,0.166,0.0,5.259528549956937,Neutral,0.0010006427764892578
goodby silverstein agency new site great,1,0.451,0.0,7.397996725767742,Positive,0.0
rt goodby silverstein s new site i enjoy it nice find,1,0.462,0.0,7.5773970495385,Positive,0.0
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,1,0.267,0.0,5.68355521366254,Neutral,0.0010001659393310547
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,1,0.286,0.0,5.791611183232492,Neutral,0.0
zomg i have a g,1,0.0,0.0,4.999999999999997,Neutral,0.0
ok so lots of buzz from io but how lucky are they a free g,1,0.494,0.0,8.197576170909567,Positive,0.0009999275207519531
just got a free g android at google i o,1,0.398,0.0,6.703428890411988,Positive,0.0
guess i ll be retiring my g and start using my developer g woot googleio,1,0.203,0.0,5.388416820881045,Neutral,0.0
i am happy for philip being at googleio today,1,0.346,0.0,6.21109335417052,Neutral,0.0009999275207519531
lakers played great cannot wait for thursday night lakers vs,1,0.448,0.0,7.351583976960337,Positive,0.0
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,1,0.258,0.127,5.448671825637371,Neutral,0.0
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,0,0.0,0.149,4.790602673706481,Neutral,0.0
watching night at the museum lmao,1,0.438,0.0,7.203895803373325,Positive,0.0009996891021728516
i loved night at the museum,1,0.494,0.0,8.197576170909567,Positive,0.0
just got back from the movies went to see the new night at the museum with rachel it was good,1,0.132,0.0,5.1647082116707645,Neutral,0.0
i will take you on a date to see night at the museum whenever you want it looks soooooo good,1,0.208,0.0,5.408097104923952,Neutral,0.0010001659393310547
no watching the night at the museum getting really good,1,0.238,0.164,5.251996846481849,Neutral,0.0
night at the museum wolverine and junk food perfect monday,1,0.291,0.0,5.82182746112943,Neutral,0.0
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,1,0.388,0.05,6.551097922831283,Neutral,0.0009999275207519531
night at the museum tonite instead of up oh well that yr old better enjoy it lol,0,0.458,0.0,7.5103715706522065,Positive,0.0
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0,0.088,0.098,4.983069607900783,Neutral,0.0010001659393310547
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0,0.203,0.0,5.388416820881045,Neutral,0.0
oh yes but if gm dies it will only be worth more boo hahaha,0,0.464,0.0,7.611857686353592,Positive,0.0
time warner cable is down again rd time since memorial day bummer,0,0.0,0.191,4.656499260790814,Neutral,0.0
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,0,0.152,0.065,5.17358442405465,Neutral,0.0
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,0,0.0,0.313,4.035693599942615,Neutral,0.0009996891021728516
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,0,0.0,0.343,3.8131459984094445,Neutral,0.0
time warner has the worse customer service ever i will never use them again,0,0.0,0.205,4.603744763787268,Neutral,0.0009996891021728516
time warner is the devil worst possible time for the internet to go out,0,0.0,0.415,3.0994096104934274,Negative,0.0
fuck no internet damn time warner,0,0.0,0.737,1.9210561837891171,Negative,0.0010006427764892578
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,0,0.0,0.195,4.641802785954967,Neutral,0.0
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,0,0.291,0.127,5.619748323060578,Neutral,0.0010004043579101562
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,0,0.207,0.115,5.262753596887257,Neutral,0.0
time warner s hd line up is crap,0,0.0,0.302,4.108939504197183,Neutral,0.0
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,0,0.0,0.315,4.0219077951830995,Neutral,0.0009999275207519531
time warner cable slogan where calling it a day at pm happens,0,0.0,0.0,4.999999999999997,Neutral,0.0
recovering from surgery wishing was here,0,0.275,0.0,5.727796044392882,Neutral,0.0
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,1,0.099,0.282,4.356078220997252,Neutral,0.0009999275207519531
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,0,0.195,0.357,4.349489309969589,Neutral,0.0
my dentist is great but she s expensive,0,0.298,0.0,5.865372800007714,Neutral,0.0
is studing math tomorrow exam and dentist,1,0.0,0.0,4.999999999999997,Neutral,0.0
my dentist was wrong wrong,0,0.0,0.674,1.8167738801749904,Negative,0.0
going to the dentist later,0,0.0,0.0,4.999999999999997,Neutral,0.0
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,0,0.184,0.117,5.177911315142181,Neutral,0.0010013580322265625
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,0,0.0,0.15,4.787847273823787,Neutral,0.0
safeway is very rock n roll tonight,1,0.0,0.0,4.999999999999997,Neutral,0.0
the safeway bathroom still smells like ass,0,0.227,0.318,4.652601374737619,Neutral,0.0
at safeway on elkhorn they move like they re dead,0,0.169,0.291,4.5167182751588975,Neutral,0.0
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,1,0.388,0.1,6.422470045596743,Neutral,0.0010001659393310547
found nothing at nike factory off to banana republic outlet,0,0.0,0.0,4.999999999999997,Neutral,0.0
is lovin his nike already and that s only from running on the spot in his bedroom,1,0.0,0.0,4.999999999999997,Neutral,0.0
i finally got around to using jquery to make my bio collapse yay for slide animations,1,0.173,0.163,5.0281366796684175,Neutral,0.0009999275207519531
right lol we ll get there i have high expectations warren buffet style,1,0.203,0.0,5.388416820881045,Neutral,0.0
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,1,0.194,0.0,5.354486699702215,Neutral,0.0
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,1,0.151,0.0,5.21491174251385,Neutral,0.0010001659393310547
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,1,0.254,0.0,5.61542636484422,Neutral,0.0
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,1,0.384,0.0,6.556160189366163,Neutral,0.0009984970092773438
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,0,0.191,0.146,5.1297584347988225,Neutral,0.0010008811950683594
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf,0,0.131,0.227,4.698486435604762,Neutral,0.0
we tried but time warner wasn t being nice so we recorded today,0,0.252,0.0,5.605313146066809,Neutral,0.0
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,0,0.0,0.0,4.999999999999997,Neutral,0.0010006427764892578
wth i have never seen a line this loooong at time warner before ugh,0,0.0,0.383,3.453922915165156,Neutral,0.0
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon,0,0.146,0.123,5.0542637696324775,Neutral,0.0
naive bayes using em for text classification really frustrating,0,0.0,0.431,2.8934601202546126,Negative,0.00099945068359375
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there,1,0.049,0.0,5.023457195155776,Neutral,0.0
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,0,0.227,0.126,5.314210350955293,Neutral,0.0
just blocked united blood services using google voice they call more than those car warranty guys,0,0.148,0.111,5.085122135020846,Neutral,0.0
at amp t is complete fail,0,0.0,0.467,2.335979688977387,Negative,0.0
oh snap you work at at amp t don t you,0,0.0,0.0,4.999999999999997,Neutral,0.0010001659393310547
i really dont want at amp t phone service they suck when it comes to having a signal,0,0.0,0.253,4.389658737132938,Neutral,0.0
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof,0,0.0,0.091,4.920888248943691,Neutral,0.0
pissed about at amp t s mid contract upgrade price for the iphone it s more i m not going to pay for something i thought was,0,0.053,0.171,4.755193206893865,Neutral,0.0009999275207519531
safari is fast even on my shitty at amp t tethering,0,0.0,0.286,4.208388816767507,Neutral,0.0
what is at amp t fucking up,0,0.0,0.0,4.999999999999997,Neutral,0.0
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks,0,0.123,0.366,3.853833541732637,Neutral,0.0009996891021728516
yay glad you got the phone still damn you at amp t,0,0.374,0.158,5.94933814496804,Neutral,0.0
talk is cheap bing that i ll stick with google,0,0.0,0.0,4.999999999999997,Neutral,0.0009992122650146484
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,0,0.173,0.127,5.120349101611744,Neutral,0.0
i love google translator too d good day mate,1,0.587,0.0,8.289921285777062,Positive,0.001001119613647461
reading on my new kindle,1,0.0,0.0,4.999999999999997,Neutral,0.0
my kindle came and i love it,1,0.457,0.0,7.494088893772706,Positive,0.0
loving my new kindle named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr,1,0.328,0.045,6.040346271962115,Neutral,0.0010004043579101562
the real aig scandal,0,0.0,0.492,1.8465956191379735,Negative,0.0
obama is quite a good comedian check out his dinner speech on cnn very funny jokes,1,0.512,0.0,8.331960483980788,Positive,0.0
barack obama shows his funny side gt gt great speech,1,0.651,0.0,8.216217049322346,Positive,0.00099945068359375
i like this guy barack obama shows his funny side gt gt,1,0.578,0.0,8.297823276201722,Positive,0.0
obama s speech was pretty awesome last night,1,0.593,0.0,8.284315871173481,Positive,0.00099945068359375
reading bill clinton fail obama win,1,0.336,0.31,5.077115685710173,Neutral,0.0
obama more popular than u s among arabs survey president barack obama s popularity in leading arab countries,1,0.323,0.0,6.03462693248496,Neutral,0.0
obama s got jokes haha just got to watch a bit of his after dinner speech from last night i m in love with mr president,1,0.326,0.0,6.056437219745015,Neutral,0.0010006427764892578
lebron james got in a car accident i guess just heard it on evening news wow i cant believe it will he be ok,0,0.221,0.114,5.319159740454154,Neutral,0.0
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,1,0.167,0.0,5.26264965235044,Neutral,0.0
no lebron is the best,1,0.447,0.234,5.642175851561066,Neutral,0.0
lebron is cool i like his personality he has good character,1,0.524,0.0,8.329192225781469,Positive,0.0
watching lebron highlights damn that niggas good,1,0.242,0.425,4.433363690236174,Neutral,0.0
lebron is murdering shit,1,0.0,0.798,1.8608004990088474,Negative,0.0010004043579101562
lebron is a monsta and he is only smh the world ain t ready,1,0.169,0.155,5.038329136912158,Neutral,0.0
when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players,1,0.307,0.0,5.92381579842142,Neutral,0.0
kobe is good bt lebron has my vote,1,0.293,0.0,5.834098045512764,Neutral,0.0010001659393310547
kobe is the best in the world not lebron,0,0.344,0.0,6.194899321643859,Neutral,0.0
world cup access damn that s a good look,1,0.274,0.255,5.069616617592911,Neutral,0.0
just bought my tickets for the fifa world cup in south africa its going to be a great summer,1,0.194,0.0,5.354486699702215,Neutral,0.0
i have to go to booz allen hamilton for a hr meeting but then i get to go home,0,0.0,0.0,4.999999999999997,Neutral,0.001001119613647461
the great indian tamasha truly will unfold from may the result day for indian general election,1,0.333,0.0,6.10872335968587,Neutral,0.0
i have the kindle i ve seen pictures of the dx but haven t seen it in person i love my kindle i m on it everyday,1,0.212,0.092,5.3305403952614965,Neutral,0.0
such an awesome idea the continual learning program with a kindle,1,0.313,0.0,5.964306400057382,Neutral,0.0009982585906982422
ooooh what model are you getting i have the d and love love love love it,1,0.627,0.0,8.24718016818969,Positive,0.0
the times of india the wonder that is india s election,1,0.0,0.0,4.999999999999997,Neutral,0.0
good video from google on using search options,1,0.293,0.0,5.834098045512764,Neutral,0.0010004043579101562
lol ah my skin is itchy damn lawnmowing,0,0.222,0.381,4.428710093837602,Neutral,0.0
itchy back dont ya hate it,0,0.33,0.231,5.369737769363659,Neutral,0.0
stanford charity fashion show a top draw,1,0.535,0.0,8.325225063042632,Positive,0.0
stanford university s facebook profile is one of the most popular official university pages,1,0.205,0.0,5.3962552362127205,Neutral,0.0010020732879638672
lyx is cool,1,0.535,0.0,8.325225063042632,Positive,0.0
sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee,1,0.293,0.0,5.834098045512764,Neutral,0.0
rt american idol fashion adam lambert tones down danny gokey cute,1,0.231,0.0,5.505479165281642,Neutral,0.0
i love you danny gokey,1,0.583,0.0,8.293538407139526,Positive,0.000997781753540039
so tired i didn t sleep well at all last night,0,0.171,0.26,4.675279437580244,Neutral,0.0
boarding plane for san francisco in hour hr flight blech,0,0.0,0.0,4.999999999999997,Neutral,0.0
bonjour san francisco my back hurts from last night,0,0.0,0.279,4.249419289380834,Neutral,0.0
with my best girl for a few more hours in san francisco mmmmmfamily is wonderful,1,0.397,0.0,6.692555677023457,Neutral,0.0010001659393310547
f up big or go home aig,0,0.0,0.0,4.999999999999997,Neutral,0.0
went to see the star trek movie last night very satisfying,1,0.248,0.0,5.585481925659616,Neutral,0.0
i can t wait going to see star trek tonight,1,0.0,0.0,4.999999999999997,Neutral,0.0010023117065429688
star trek was as good as everyone said,1,0.293,0.0,5.834098045512764,Neutral,0.0
am loving new malcolm gladwell book outliers,1,0.394,0.0,6.660230435816208,Neutral,0.0
i highly recommend malcolm gladwell s the tipping point my next audiobook will probably be one of his as well,1,0.234,0.0,5.519094713118816,Neutral,0.0
malcolm gladwell is a genius at tricking people into not realizing he s a fucking idiot,0,0.07,0.229,4.560510872621694,Neutral,0.0
hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit,0,0.135,0.38,3.851452956696885,Neutral,0.0
rt great article by malcolm gladwell,1,0.451,0.0,7.397996725767742,Positive,0.0
i seriously underestimated malcolm gladwell i want to meet this dude,1,0.117,0.342,4.021213662521339,Neutral,0.0009996891021728516
i hate comcast right now everything is down cable internet amp phone ughh what am i to do,0,0.0,0.198,4.630601764758389,Neutral,0.0
comcast sucks,0,0.0,0.714,1.880835270489639,Negative,0.0
the day i never have to deal with comcast again will rank as one of the best days of my life,0,0.181,0.0,5.308357425714121,Neutral,0.00099945068359375
did comcast fail again,0,0.0,0.538,1.6760522953532786,Negative,0.0
curses the twitter api limit,0,0.0,0.0,4.999999999999997,Neutral,0.0
now i can see why dave winer screams about lack of twitter api its limitations and access throttles,0,0.0,0.231,4.494520834718367,Neutral,0.0
arg twitter api is making me crazy,0,0.0,0.286,4.208388816767507,Neutral,0.0009999275207519531
i m really loving the new search site wolfram alpha makes google seem so quaint,1,0.259,0.0,5.641111471321836,Neutral,0.0
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless,0,0.0,0.227,4.5123111177135815,Neutral,0.0
off to the nike factory,1,0.0,0.0,4.999999999999997,Neutral,0.0010018348693847656
new nike muppet commercials are pretty cute why do we live together again,1,0.36,0.0,6.329682892813009,Neutral,0.0
oh those are awesome i so wish they weren t owned by nike,0,0.458,0.0,7.5103715706522065,Positive,0.0
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait,1,0.227,0.0,5.487688882286419,Neutral,0.0009982585906982422
arhh it s weka bug and i spent almost two hours to find that out crappy me,0,0.0,0.205,4.603744763787268,Neutral,0.0
hey bud np i do so love my d although i d love a d mkii more,1,0.587,0.0,8.289921285777062,Positive,0.0
just got us a d for the office d,1,0.0,0.0,4.999999999999997,Neutral,0.0
just picked up my new canon d it s beautiful prepare for some seriously awesome photography,1,0.386,0.082,6.457769797361055,Neutral,0.0
just got my new toy canon d love love love it,1,0.643,0.0,8.226947639929367,Positive,0.0
learning about lambda calculus,1,0.0,0.0,4.999999999999997,Neutral,0.0
i m moving to east palo alto,1,0.0,0.0,4.999999999999997,Neutral,0.0009984970092773438
atebits i just finished watching your stanford iphone class session i really appreciate it you rock,1,0.187,0.0,5.329268226767191,Neutral,0.0
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,1,0.225,0.0,5.478930030406756,Neutral,0.0
lakers tonight let s go,1,0.0,0.0,4.999999999999997,Neutral,0.0010006427764892578
will the lakers kick the nuggets ass tonight,1,0.0,0.333,3.8912766403141315,Neutral,0.0
oooooooh north korea is in troubleeeee,0,0.0,0.0,4.999999999999997,Neutral,0.0
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,0,0.157,0.0,5.232309057767333,Neutral,0.0
listening to obama friggin north korea,0,0.0,0.0,4.999999999999997,Neutral,0.0009999275207519531
i just realized we three monkeys in the white obama biden pelosi sarah palin,0,0.0,0.0,4.999999999999997,Neutral,0.0
pelosi should stay in china and never come back,0,0.0,0.0,4.999999999999997,Neutral,0.0
nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this,0,0.125,0.319,4.205261874751921,Neutral,0.0009999275207519531
ugh the amount of times these stupid insects have bitten me grr,0,0.0,0.383,3.453922915165156,Neutral,0.0
prettiest insects ever pink katydids,1,0.481,0.0,7.925312978080645,Positive,0.0
just got barraged by a horde of insects hungry for my kitchen light so scary,0,0.0,0.24,4.453028914530479,Neutral,0.0
just had mcdonalds for dinner d it was goooood big mac meal,1,0.0,0.0,4.999999999999997,Neutral,0.0
ahh yes lol ima tell my hubby to go get me sum mcdonalds,1,0.333,0.0,6.10872335968587,Neutral,0.0
stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy,1,0.0,0.192,4.65291636136882,Neutral,0.0
could go for a lot of mcdonalds i mean a lot,1,0.0,0.0,4.999999999999997,Neutral,0.001001596450805664
my exam went good your prayers worked,1,0.326,0.0,6.056437219745015,Neutral,0.0
only one exam left and i am so happy for it d,1,0.345,0.0,6.202981953052593,Neutral,0.0
math review im going to fail the exam,0,0.0,0.333,3.8912766403141315,Neutral,0.0
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly,0,0.198,0.134,5.184609913735108,Neutral,0.0009980201721191406
obviously not siding with cheney here,0,0.0,0.0,4.999999999999997,Neutral,0.0
absolutely hilarious from,1,0.599,0.0,8.278393378880534,Positive,0.0
i never did thank you for including me in your top twitter authors you rock amp i new wave d,1,0.095,0.112,4.968372454378487,Neutral,0.0010004043579101562
rt awesome jquery reference book for coda webdesign,1,0.369,0.0,6.410879834539637,Neutral,0.0
